Date, Open, High, Low, Close
03/24/26, 94.4850, 95.8100, 94.3500, 95.2700
03/23/26, 95.5250, 97.0200, 94.9450, 95.8400
03/20/26, 96.1300, 96.1300, 93.0800, 93.5900
03/19/26, 94.9400, 97.1100, 94.8000, 96.5200
03/18/26, 97.8100, 98.0100, 96.6050, 96.6900
03/17/26, 98.7400, 98.9650, 98.2400, 98.3700
03/16/26, 97.6400, 98.3200, 97.4500, 98.1000
03/13/26, 97.6650, 98.1050, 96.1400, 96.3000
03/12/26, 98.0400, 98.1300, 97.0050, 97.4600
03/11/26, 98.6400, 99.3750, 98.2850, 99.0100
03/10/26, 99.7350, 100.8800, 99.0700, 99.2200
03/09/26, 96.7750, 99.4050, 95.9800, 98.9900
03/06/26, 97.2700, 98.6900, 97.0600, 98.2800
03/05/26, 99.7800, 100.2700, 98.2200, 99.1600
03/04/26, 100.7850, 101.4900, 100.4000, 101.3800
03/03/26, 98.6500, 100.5600, 97.7500, 100.0900
03/02/26, 102.7600, 103.7250, 102.7200, 103.3000
02/27/26, 105.5200, 105.9400, 105.2600, 105.3800
02/26/26, 105.6350, 105.7200, 104.8700, 105.5700
02/25/26, 105.2550, 105.7953, 105.1450, 105.6600
02/24/26, 104.1700, 104.9150, 104.0800, 104.6600
02/23/26, 104.8100, 105.1050, 104.1900, 104.4700
02/20/26, 103.8600, 105.0500, 103.8600, 104.9000
02/19/26, 103.5400, 104.0900, 103.3700, 104.0500
02/18/26, 104.3700, 104.9100, 104.1200, 104.3400
02/17/26, 103.3600, 104.3400, 103.0200, 104.2200
02/13/26, 103.8800, 104.4300, 103.4450, 104.2400
02/12/26, 105.0900, 105.2350, 103.8100, 104.1500
02/11/26, 104.8400, 105.1700, 104.1600, 104.9400
02/10/26, 104.5750, 104.6700, 104.2400, 104.2400
02/09/26, 103.2300, 104.1700, 103.1150, 103.9900
02/06/26, 101.6900, 102.6500, 101.6350, 102.6100
02/05/26, 100.6200, 101.1450, 100.2700, 100.3300
02/04/26, 102.4700, 102.6650, 101.3700, 101.7800
02/03/26, 101.1400, 101.6550, 100.6400, 101.4500
02/02/26, 100.8800, 101.5450, 100.8200, 101.4000
01/30/26, 101.3500, 101.5400, 100.3700, 100.7400
01/29/26, 102.0150, 102.1000, 100.5550, 101.6900
01/28/26, 101.1850, 101.3550, 100.5600, 101.0100
01/27/26, 101.4700, 102.3200, 101.4300, 102.0900
01/26/26, 100.5400, 100.8250, 100.4600, 100.4700
01/23/26, 99.1700, 100.0000, 99.0000, 99.9700
01/22/26, 99.3900, 99.6700, 99.1750, 99.4200
01/21/26, 98.2700, 99.2800, 97.8900, 99.0300
01/20/26, 98.0000, 98.6850, 97.8600, 98.0200
01/16/26, 99.4200, 99.5400, 99.0550, 99.5300
01/15/26, 99.6200, 99.6200, 99.2200, 99.2600
01/14/26, 99.1900, 99.3650, 98.9800, 99.3000
01/13/26, 99.2300, 99.2500, 98.6450, 98.8400
01/12/26, 99.1500, 99.4400, 99.1150, 99.4100
01/09/26, 98.4200, 98.8850, 98.3300, 98.8100
01/08/26, 97.5600, 97.9500, 97.5250, 97.9400
01/07/26, 98.1400, 98.2050, 97.8400, 97.9300
01/06/26, 98.3100, 98.4800, 98.1300, 98.3000
01/05/26, 97.2550, 98.1500, 97.2300, 98.1500
01/02/26, 97.0300, 97.1050, 96.5100, 97.0400
12/31/25, 96.3300, 96.3900, 95.9239, 96.0300
12/30/25, 96.6300, 96.7950, 96.4150, 96.4400
12/29/25, 96.2600, 96.4650, 96.0550, 96.2800
12/26/25, 96.5300, 96.6000, 96.3350, 96.5700
