Date, Open, High, Low, Close
03/24/26, 98.6300, 98.9650, 98.5700, 98.7600
03/23/26, 98.8600, 99.2350, 98.7650, 99.0300
03/20/26, 99.1400, 99.1650, 98.6600, 98.6600
03/19/26, 99.1600, 99.6156, 99.1350, 99.4900
03/18/26, 99.6700, 99.7400, 99.3800, 99.3800
03/17/26, 99.7400, 99.8300, 99.7150, 99.8000
03/16/26, 99.5900, 99.6500, 99.4424, 99.6000
03/13/26, 99.4500, 99.5350, 99.1400, 99.2100
03/12/26, 99.5000, 99.5678, 99.1800, 99.2900
03/11/26, 99.9200, 100.0000, 99.6100, 99.6600
03/10/26, 100.3600, 100.4395, 100.1100, 100.1100
03/09/26, 100.0800, 100.4799, 99.9600, 100.4400
03/06/26, 99.9700, 100.3651, 99.9050, 100.1200
03/05/26, 100.2200, 100.3199, 100.1537, 100.2400
03/04/26, 100.5800, 100.6200, 100.4750, 100.5300
03/03/26, 100.2600, 100.7070, 100.2400, 100.5700
03/02/26, 100.7800, 100.8001, 100.5600, 100.6800
02/27/26, 101.3700, 101.4557, 101.3400, 101.4000
02/26/26, 101.0900, 101.2100, 101.0840, 101.2000
02/25/26, 101.0100, 101.1300, 101.0100, 101.0400
02/24/26, 101.0900, 101.1500, 101.0100, 101.0900
02/23/26, 100.9600, 101.1800, 100.9500, 101.1000
02/20/26, 100.9000, 100.9300, 100.7400, 100.9000
02/19/26, 100.7900, 100.9400, 100.7700, 100.8800
02/18/26, 100.8700, 100.9600, 100.8395, 100.8600
02/17/26, 101.0000, 101.0400, 100.9350, 101.0000
02/13/26, 100.9300, 101.0050, 100.8900, 100.9900
02/12/26, 100.4000, 100.7000, 100.3916, 100.6700
02/11/26, 100.2200, 100.4000, 100.1930, 100.2200
02/10/26, 100.4000, 100.5000, 100.3700, 100.4500
02/09/26, 100.0400, 100.1700, 100.0000, 100.1600
02/06/26, 100.0900, 100.1350, 99.9800, 100.1300
02/05/26, 99.8700, 100.1100, 99.8050, 100.0700
02/04/26, 99.6200, 99.7500, 99.5950, 99.6400
02/03/26, 99.6200, 99.7150, 99.5900, 99.7000
02/02/26, 99.8400, 99.8501, 99.6598, 99.6900
01/30/26, 100.1600, 100.2200, 100.1100, 100.1300
01/29/26, 100.1000, 100.2400, 100.0100, 100.1500
01/28/26, 100.1500, 100.1700, 100.0000, 100.1500
01/27/26, 100.2500, 100.3272, 100.1650, 100.1900
01/26/26, 100.2600, 100.3050, 100.2100, 100.2600
01/23/26, 100.0500, 100.1500, 99.9600, 100.1100
01/22/26, 99.9100, 100.0800, 99.8700, 100.0200
01/21/26, 99.7700, 100.0300, 99.7200, 100.0000
01/20/26, 99.7100, 99.8600, 99.6600, 99.6700
01/16/26, 100.2200, 100.2400, 100.0400, 100.0500
01/15/26, 100.4200, 100.4200, 100.2200, 100.2200
01/14/26, 100.2300, 100.4100, 100.2300, 100.3500
01/13/26, 100.2400, 100.2400, 100.0907, 100.2000
01/12/26, 100.0600, 100.2100, 100.0250, 100.1100
01/09/26, 100.0800, 100.2697, 99.9700, 100.1600
01/08/26, 99.9400, 100.0100, 99.9100, 99.9400
01/07/26, 100.1700, 100.2000, 100.0300, 100.1200
01/06/26, 99.9300, 100.0300, 99.8100, 100.0200
01/05/26, 99.9300, 100.0700, 99.8800, 100.0400
01/02/26, 100.0000, 100.0100, 99.8100, 99.8500
12/31/25, 100.0200, 100.1200, 99.8800, 99.8800
12/30/25, 100.0600, 100.1800, 100.0321, 100.1200
12/29/25, 100.1200, 100.1900, 100.0601, 100.1600
12/26/25, 100.1300, 100.1500, 99.9700, 100.0400
