Date, Open, High, Low, Close
03/24/26, 6552.09, 6595.75, 6525.11, 6556.37
03/23/26, 6574.96, 6651.62, 6565.55, 6581.00
03/20/26, 6594.66, 6594.66, 6473.52, 6506.48
03/19/26, 6583.12, 6636.74, 6557.82, 6606.49
03/18/26, 6697.16, 6705.18, 6621.66, 6624.70
03/17/26, 6722.35, 6754.30, 6710.80, 6716.09
03/16/26, 6674.37, 6729.79, 6674.37, 6699.38
03/13/26, 6673.49, 6733.30, 6623.92, 6632.19
03/12/26, 6740.88, 6740.88, 6670.40, 6672.62
03/11/26, 6790.09, 6811.15, 6745.59, 6775.80
03/10/26, 6796.56, 6845.08, 6759.74, 6781.48
03/09/26, 6699.80, 6810.44, 6636.04, 6795.99
03/06/26, 6769.03, 6773.42, 6711.56, 6740.02
03/05/26, 6851.08, 6870.43, 6770.78, 6830.71
03/04/26, 6831.69, 6885.94, 6811.64, 6869.50
03/03/26, 6800.26, 6840.05, 6710.42, 6816.63
03/02/26, 6824.36, 6901.01, 6796.85, 6881.62
02/27/26, 6856.54, 6882.96, 6831.74, 6878.88
02/26/26, 6944.74, 6947.25, 6859.73, 6908.86
02/25/26, 6915.15, 6952.51, 6915.15, 6946.13
02/24/26, 6837.37, 6899.17, 6815.43, 6890.07
02/23/26, 6901.25, 6916.96, 6819.82, 6837.75
02/20/26, 6843.26, 6915.86, 6836.33, 6909.51
02/19/26, 6861.34, 6879.12, 6833.06, 6861.89
02/18/26, 6855.48, 6909.12, 6849.66, 6881.31
02/17/26, 6819.86, 6866.99, 6775.50, 6843.22
02/13/26, 6834.27, 6881.96, 6794.55, 6836.17
02/12/26, 6957.54, 6973.22, 6824.04, 6832.76
02/11/26, 6976.48, 6993.48, 6911.97, 6941.47
02/10/26, 6974.49, 6986.83, 6937.53, 6941.81
02/09/26, 6917.26, 6980.10, 6905.87, 6964.82
02/06/26, 6816.74, 6944.89, 6816.74, 6932.30
02/05/26, 6837.39, 6857.85, 6780.13, 6798.40
02/04/26, 6924.50, 6936.09, 6838.80, 6882.72
02/03/26, 6985.45, 6993.08, 6862.05, 6917.81
02/02/26, 6916.64, 6991.92, 6914.34, 6976.44
01/30/26, 6947.27, 6964.09, 6893.48, 6939.03
01/29/26, 6977.74, 6992.84, 6870.80, 6969.01
01/28/26, 7002.00, 7002.28, 6963.46, 6978.03
01/27/26, 6965.96, 6988.82, 6958.83, 6978.60
01/26/26, 6923.23, 6964.66, 6921.60, 6950.23
01/23/26, 6907.85, 6932.96, 6895.50, 6915.61
01/22/26, 6914.44, 6934.75, 6893.62, 6913.35
01/21/26, 6810.71, 6910.39, 6804.96, 6875.62
01/20/26, 6865.24, 6871.17, 6789.05, 6796.86
01/16/26, 6960.54, 6967.30, 6925.09, 6940.01
01/15/26, 6969.46, 6979.34, 6937.93, 6944.47
01/14/26, 6937.41, 6941.30, 6885.74, 6926.60
01/13/26, 6977.41, 6985.83, 6938.77, 6963.74
01/12/26, 6944.12, 6986.33, 6934.07, 6977.27
01/09/26, 6927.83, 6978.36, 6917.64, 6966.28
01/08/26, 6914.11, 6931.28, 6899.33, 6921.46
01/07/26, 6945.07, 6965.69, 6919.19, 6920.93
01/06/26, 6908.03, 6948.69, 6904.02, 6944.82
01/05/26, 6892.19, 6920.38, 6891.56, 6902.05
01/02/26, 6878.11, 6894.87, 6824.31, 6858.47
12/31/25, 6898.82, 6901.42, 6844.55, 6845.50
12/30/25, 6900.44, 6913.25, 6893.47, 6896.24
12/29/25, 6903.60, 6920.21, 6888.76, 6905.74
12/26/25, 6936.02, 6945.77, 6921.60, 6929.94
